Drug_A,Drug_B,Level
Sevelamer,Doxorubicin,Unknown
Flecainide,Acetylcysteine,Unknown
Levobupivacaine,Cobicistat,Moderate
Exemestane,Raloxifene,No Interaction
Brexpiprazole,Ticagrelor,No Interaction
Chlorpromazine,Magnesium carbonate,Minor
Esmolol,Sodium bicarbonate,No Interaction
Prednisolone,Zinc sulfate,Minor
Clofarabine,Phenindamine,No Interaction
Pamidronic acid,Acetylcysteine,Unknown
Naldemedine,Plazomicin,No Interaction
Carteolol,Dolasetron,No Interaction
Fenoprofen,Lamotrigine,No Interaction
Lithium carbonate,Zonisamide,No Interaction
Chlorthalidone,Tolbutamide,Moderate
Deferiprone,Lurbinectedin,Major
Cilostazol,Valaciclovir,No Interaction
Ephedrine,Flurandrenolide (topical),No Interaction
Busulfan,Ioflupane I-123,No Interaction
Quetiapine,Acetylcysteine,Unknown
Folic acid,Ertapenem,Unknown
Methionine,Ephedrine,Minor
Pentoxifylline,Sarilumab,No Interaction
Acyclovir,Triamcinolone (topical),No Interaction
Ioversol,Edetate disodium anhydrous,Major
Streptozocin,Strontium chloride Sr-89,Moderate
Ramucirumab,Urokinase,No Interaction
Secretin human,Methscopolamine,Minor
Foscarnet,Ioxilan,Major
Insulin human (isophane),Phentolamine,Minor
Insulin human (isophane),Sorbitol,No Interaction
Histrelin,Vancomycin,No Interaction
Tenecteplase,Tositumomab,Major
Magnesium sulfate,Penicillamine,Moderate
Tositumomab (I-131),Acetylsalicylic acid,Major
Ferumoxsil,Griseofulvin,No Interaction
Brentuximab vedotin,Cobicistat,Moderate
Norethisterone,Palifermin,No Interaction
Promethazine,Desipramine,Moderate
Chlorzoxazone,Salbutamol,No Interaction
Atenolol,Iohexol,Moderate
Escitalopram,Ledipasvir,No Interaction
Naloxone,Opium,Moderate
Acrivastine,Cefaclor,No Interaction
Fondaparinux,Griseofulvin,No Interaction
Dapsone,Iodide I-123,Moderate
Olanzapine,Sevelamer,Unknown
Ephedrine,Eprosartan,No Interaction
